,Vendedor,Fecha,Modelo,Cantidad,Precio Unitario,Descuento,Subtotal,I.V.A,Total
2888,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2905,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2922,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2939,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2956,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2973,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2990,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3007,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3024,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3041,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3074,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3091,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3108,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3125,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3142,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3159,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3176,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3193,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3210,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3227,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3244,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3261,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3278,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3295,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3312,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3329,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3346,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3363,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3380,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3397,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3414,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3431,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3448,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3465,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3482,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3499,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3516,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3533,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3550,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3567,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3584,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3601,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3618,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3635,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3652,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3669,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3686,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3703,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3720,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3737,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3754,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3771,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3788,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3805,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3822,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3839,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3856,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3873,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3890,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3907,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3924,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3941,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3958,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3975,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
3992,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4009,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4026,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4043,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4060,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4077,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4094,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4111,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4128,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4145,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4162,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4179,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4196,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4213,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4230,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4247,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4264,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4281,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4298,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4315,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4332,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4349,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4366,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4383,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4400,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4417,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4434,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4451,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4468,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4485,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4502,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4519,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4536,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4553,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4570,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4587,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4604,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4621,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4638,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4655,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4672,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4689,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4706,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4723,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4740,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4773,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4790,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4807,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4824,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4841,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4858,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4875,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4892,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4909,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4926,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4943,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4960,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4977,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
4994,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5011,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5028,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5045,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5062,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5079,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5096,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5113,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5130,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5147,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5164,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5181,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5198,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5215,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5232,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5249,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5266,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5283,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5300,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5317,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5334,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5351,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5368,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5385,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5402,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5419,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5436,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5453,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5470,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5487,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5504,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5521,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5538,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5555,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5572,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5589,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5606,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5623,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5640,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5657,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5674,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5691,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5708,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5725,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5742,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5759,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5776,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5793,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5810,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5827,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5844,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5861,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5878,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5895,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5912,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5929,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5946,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5963,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5980,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
5997,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
6014,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
6031,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
6048,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
6065,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
6082,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
6099,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
6116,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
